Date,Open,High,Low,Close,Volume
2023-02-23,50.0,50.0,50.0,50.0,0
2023-02-24,50.0,50.0,50.0,50.0,100
2023-02-27,50.0,50.0,50.0,50.0,0
2023-02-28,50.0,50.0,50.0,50.0,70900
2023-03-01,50.0,50.0,50.0,50.0,100
2023-03-02,50.0,50.0,50.0,50.0,0
2023-03-03,50.0,50.0,50.0,50.0,2500
2023-03-06,50.0,50.0,50.0,50.0,8800
2023-03-07,50.0,50.0,50.0,50.0,2200
2023-03-08,50.0,50.0,50.0,50.0,200
2023-03-09,50.0,50.0,50.0,50.0,0
2023-03-10,50.0,50.0,50.0,50.0,2200
2023-03-13,50.0,50.0,50.0,50.0,100
2023-03-14,50.0,50.0,50.0,50.0,0
2023-03-15,50.0,50.0,50.0,50.0,82300
2023-03-16,50.0,50.0,50.0,50.0,200
2023-03-17,50.0,50.0,50.0,50.0,100
2023-03-20,50.0,50.0,50.0,50.0,0
2023-03-21,50.0,50.0,50.0,50.0,0
2023-03-24,50.0,50.0,50.0,50.0,300
2023-03-27,50.0,50.0,50.0,50.0,0
2023-03-28,50.0,50.0,50.0,50.0,501400
2023-03-29,50.0,50.0,50.0,50.0,8200
2023-03-30,50.0,50.0,50.0,50.0,32800
2023-03-31,50.0,50.0,50.0,50.0,0
2023-04-03,50.0,50.0,50.0,50.0,2100
2023-04-04,50.0,50.0,50.0,50.0,1400
2023-04-05,50.0,50.0,50.0,50.0,2100
2023-04-06,50.0,50.0,50.0,50.0,200
2023-04-10,50.0,50.0,50.0,50.0,10100
2023-04-11,50.0,50.0,50.0,50.0,4200
2023-04-12,50.0,50.0,50.0,50.0,100
2023-04-13,50.0,50.0,50.0,50.0,0
2023-04-14,50.0,50.0,50.0,50.0,300
2023-04-17,50.0,50.0,50.0,50.0,500
2023-04-18,50.0,50.0,50.0,50.0,100
2023-04-26,50.0,50.0,50.0,50.0,200
2023-04-27,50.0,50.0,50.0,50.0,100
2023-04-28,50.0,50.0,50.0,50.0,200
2023-05-02,50.0,50.0,50.0,50.0,600
2023-05-03,50.0,50.0,50.0,50.0,12100
2023-05-04,50.0,50.0,50.0,50.0,100
2023-05-05,50.0,50.0,50.0,50.0,0
2023-05-08,50.0,50.0,50.0,50.0,0
2023-05-09,50.0,50.0,50.0,50.0,900
2023-05-10,50.0,50.0,50.0,50.0,0
2023-05-11,50.0,50.0,50.0,50.0,0
2023-05-12,50.0,50.0,50.0,50.0,200
2023-05-15,50.0,50.0,50.0,50.0,0
2023-05-16,50.0,50.0,50.0,50.0,22800
2023-05-17,50.0,50.0,50.0,50.0,0
2023-05-19,50.0,50.0,50.0,50.0,201100
2023-05-22,50.0,50.0,50.0,50.0,0
2023-05-23,50.0,50.0,50.0,50.0,0
2023-05-24,50.0,50.0,50.0,50.0,100
2023-05-25,50.0,50.0,50.0,50.0,100
2023-05-26,50.0,50.0,50.0,50.0,0
2023-05-29,50.0,50.0,50.0,50.0,2200
2023-05-30,50.0,50.0,50.0,50.0,0
2023-05-31,50.0,50.0,50.0,50.0,200
2023-06-05,50.0,50.0,50.0,50.0,500
2023-06-06,50.0,50.0,50.0,50.0,2000
2023-06-07,50.0,50.0,50.0,50.0,2600
2023-06-08,50.0,50.0,50.0,50.0,600
2023-06-09,50.0,50.0,50.0,50.0,6000
2023-06-12,50.0,50.0,50.0,50.0,300
2023-06-13,50.0,50.0,50.0,50.0,500
2023-06-14,50.0,50.0,50.0,50.0,400
2023-06-15,50.0,50.0,50.0,50.0,100
2023-06-16,50.0,50.0,50.0,50.0,100
2023-06-19,50.0,50.0,50.0,50.0,0
2023-06-20,50.0,50.0,50.0,50.0,200
2023-06-21,50.0,50.0,50.0,50.0,0
2023-06-22,50.0,50.0,50.0,50.0,100
2023-06-23,50.0,50.0,50.0,50.0,200
2023-06-26,50.0,50.0,50.0,50.0,0
2023-06-27,50.0,50.0,50.0,50.0,200
2023-07-03,50.0,50.0,50.0,50.0,100
2023-07-04,50.0,50.0,50.0,50.0,200
2023-07-05,50.0,50.0,50.0,50.0,1400
2023-07-06,50.0,50.0,50.0,50.0,800
2023-07-07,50.0,50.0,50.0,50.0,100
2023-07-10,50.0,50.0,50.0,50.0,14400
2023-07-11,50.0,50.0,50.0,50.0,3600
2023-07-12,50.0,50.0,50.0,50.0,0
2023-07-13,50.0,50.0,50.0,50.0,7700
2023-07-14,50.0,50.0,50.0,50.0,0
2023-07-17,50.0,50.0,50.0,50.0,0
2023-07-18,50.0,50.0,50.0,50.0,100
2023-07-20,50.0,50.0,50.0,50.0,100
2023-07-21,50.0,50.0,50.0,50.0,100
2023-07-24,50.0,50.0,50.0,50.0,0
2023-07-25,50.0,50.0,50.0,50.0,200
2023-07-26,50.0,50.0,50.0,50.0,100
2023-07-27,50.0,50.0,50.0,50.0,0
2023-07-28,50.0,50.0,50.0,50.0,200
2023-07-31,50.0,50.0,50.0,50.0,700
2023-08-01,50.0,50.0,50.0,50.0,2000
2023-08-02,50.0,50.0,50.0,50.0,0
2023-08-03,50.0,50.0,50.0,50.0,300
2023-08-04,50.0,50.0,50.0,50.0,0
2023-08-07,50.0,50.0,50.0,50.0,5000
2023-08-08,50.0,50.0,50.0,50.0,1500
2023-08-09,50.0,50.0,50.0,50.0,1200
2023-08-10,50.0,50.0,50.0,50.0,0
2023-08-11,50.0,50.0,50.0,50.0,100
2023-08-14,50.0,50.0,50.0,50.0,4600
2023-08-15,50.0,50.0,50.0,50.0,0
2023-08-16,50.0,50.0,50.0,50.0,0
2023-08-18,50.0,50.0,50.0,50.0,400
2023-08-21,50.0,50.0,50.0,50.0,0
2023-08-22,50.0,50.0,50.0,50.0,0
2023-08-23,50.0,50.0,50.0,50.0,0
2023-08-24,50.0,50.0,50.0,50.0,0
2023-08-25,50.0,50.0,50.0,50.0,400
2023-08-28,50.0,50.0,50.0,50.0,2000
2023-08-29,50.0,50.0,50.0,50.0,5000
2023-08-30,50.0,50.0,50.0,50.0,0
2023-08-31,50.0,50.0,50.0,50.0,100
2023-09-01,50.0,50.0,50.0,50.0,600
2023-09-04,50.0,50.0,50.0,50.0,12100
2023-09-05,50.0,50.0,50.0,50.0,10000
2023-09-06,50.0,50.0,50.0,50.0,3800
2023-09-07,50.0,50.0,50.0,50.0,2000
2023-09-08,50.0,50.0,50.0,50.0,2300
2023-09-11,50.0,50.0,50.0,50.0,1500
2023-09-12,50.0,50.0,50.0,50.0,31900
2023-09-13,50.0,50.0,50.0,50.0,10300
2023-09-14,50.0,50.0,50.0,50.0,3400
2023-09-15,50.0,50.0,50.0,50.0,200
2023-09-18,50.0,50.0,50.0,50.0,300
2023-09-19,50.0,50.0,50.0,50.0,0
2023-09-20,50.0,50.0,50.0,50.0,0
2023-09-21,50.0,50.0,50.0,50.0,100
2023-09-22,50.0,50.0,50.0,50.0,0
2023-09-25,50.0,50.0,50.0,50.0,1000
2023-09-26,50.0,50.0,50.0,50.0,0
2023-09-27,50.0,50.0,50.0,50.0,0
2023-09-29,50.0,50.0,50.0,50.0,0
2023-10-02,50.0,50.0,50.0,50.0,0
2023-10-03,50.0,50.0,50.0,50.0,0
2023-10-04,50.0,50.0,50.0,50.0,0
2023-10-05,50.0,50.0,50.0,50.0,100
2023-10-06,50.0,50.0,50.0,50.0,800
2023-10-09,50.0,50.0,50.0,50.0,0
2023-10-10,50.0,50.0,50.0,50.0,0
2023-10-11,50.0,50.0,50.0,50.0,0
2023-10-12,50.0,50.0,50.0,50.0,100
2023-10-13,50.0,50.0,50.0,50.0,0
2023-10-16,50.0,50.0,50.0,50.0,400
2023-10-17,50.0,50.0,50.0,50.0,300
2023-10-18,50.0,50.0,50.0,50.0,0
2023-10-19,50.0,50.0,50.0,50.0,0
2023-10-20,50.0,50.0,50.0,50.0,0
2023-10-23,50.0,50.0,50.0,50.0,10100
2023-10-24,50.0,50.0,50.0,50.0,2000
2023-10-25,50.0,50.0,50.0,50.0,2500
2023-10-26,50.0,50.0,50.0,50.0,250100
2023-10-27,50.0,50.0,50.0,50.0,100
2023-10-30,50.0,50.0,50.0,50.0,100
2023-10-31,50.0,50.0,50.0,50.0,0
2023-11-01,50.0,50.0,50.0,50.0,0
2023-11-02,50.0,50.0,50.0,50.0,0
2023-11-03,50.0,50.0,50.0,50.0,0
2023-11-06,50.0,50.0,50.0,50.0,0
2023-11-07,50.0,50.0,50.0,50.0,100
2023-11-08,50.0,50.0,50.0,50.0,300
2023-11-09,50.0,50.0,50.0,50.0,400
2023-11-10,50.0,50.0,50.0,50.0,300
2023-11-13,50.0,50.0,50.0,50.0,600
2023-11-14,50.0,50.0,50.0,50.0,5000
2023-11-15,50.0,50.0,50.0,50.0,0
2023-11-16,50.0,50.0,50.0,50.0,0
2023-11-17,50.0,50.0,50.0,50.0,0
2023-11-20,50.0,50.0,50.0,50.0,299600
2023-11-21,50.0,50.0,50.0,50.0,0
2023-11-22,50.0,50.0,50.0,50.0,500
2023-11-23,50.0,50.0,50.0,50.0,0
2023-11-24,50.0,50.0,50.0,50.0,200
2023-11-27,50.0,50.0,50.0,50.0,3000
2023-11-28,50.0,50.0,50.0,50.0,2800
2023-11-29,50.0,50.0,50.0,50.0,400
2023-11-30,45.0,45.0,45.0,45.0,27900
2023-12-01,41.0,41.0,41.0,41.0,6200
2023-12-04,37.0,37.0,37.0,37.0,27100
2023-12-05,34.0,34.0,34.0,34.0,32500
2023-12-06,31.0,31.0,31.0,31.0,44500
2023-12-07,28.0,28.0,28.0,28.0,58100
2023-12-08,26.0,26.0,26.0,26.0,46800
2023-12-11,24.0,24.0,24.0,24.0,32500
2023-12-12,22.0,22.0,22.0,22.0,800
2023-12-13,20.0,20.0,20.0,20.0,43000
2023-12-14,18.0,18.0,18.0,18.0,66100
2023-12-15,17.0,17.0,17.0,17.0,21300
2023-12-18,16.0,16.0,16.0,16.0,163100
2023-12-19,15.0,15.0,15.0,15.0,319400
2023-12-20,14.0,14.0,14.0,14.0,151800
2023-12-21,13.0,13.0,13.0,13.0,22600
2023-12-22,12.0,12.0,12.0,12.0,33300
2023-12-27,11.0,11.0,11.0,11.0,322800
2023-12-28,10.0,10.0,10.0,10.0,90600
2023-12-29,9.0,9.0,9.0,9.0,203600
2024-01-02,8.0,8.0,8.0,8.0,676900
2024-01-03,7.0,7.0,7.0,7.0,2541700
2024-01-04,6.0,6.0,6.0,6.0,646500
2024-01-05,5.0,5.0,5.0,5.0,2388500
2024-01-08,4.0,4.0,4.0,4.0,5753900
2024-01-09,3.0,3.0,3.0,3.0,9204000
2024-01-10,2.0,2.0,2.0,2.0,334302800
2024-01-11,2.0,2.0,2.0,2.0,147015000
2024-01-12,2.0,2.0,2.0,2.0,75694100
2024-01-15,2.0,2.0,2.0,2.0,35232600
2024-01-16,2.0,2.0,2.0,2.0,51555600
2024-01-17,3.0,3.0,3.0,3.0,38264600
2024-01-18,3.0,3.0,3.0,3.0,32528300
2024-01-19,3.0,3.0,3.0,3.0,9506100
2024-01-22,3.0,3.0,2.0,2.0,19024800
2024-01-23,2.0,2.0,2.0,2.0,4986100
2024-01-24,3.0,3.0,3.0,3.0,4996800
2024-01-25,3.0,3.0,3.0,3.0,6104900
2024-01-26,3.0,3.0,3.0,3.0,3037800
2024-01-29,2.0,2.0,2.0,2.0,26558200
2024-01-30,3.0,3.0,3.0,3.0,7769800
2024-01-31,3.0,3.0,3.0,3.0,3682000
2024-02-01,3.0,3.0,3.0,3.0,3067700
2024-02-02,2.0,3.0,2.0,3.0,9557700
2024-02-05,2.0,2.0,2.0,2.0,17229700
2024-02-06,3.0,3.0,2.0,2.0,8264300
2024-02-07,2.0,3.0,2.0,3.0,4054400
2024-02-12,3.0,3.0,3.0,3.0,3434100
2024-02-13,2.0,3.0,2.0,3.0,33586800
2024-02-15,2.0,2.0,2.0,2.0,5543300
2024-02-16,2.0,2.0,2.0,2.0,1680000
2024-02-19,2.0,2.0,2.0,2.0,4441100
2024-02-20,2.0,2.0,2.0,2.0,20438800
2024-02-21,2.0,2.0,2.0,2.0,32157300
2024-02-22,2.0,2.0,2.0,2.0,22942500
2024-02-23,2.0,2.0,2.0,2.0,7470200
2024-02-26,2.0,2.0,2.0,2.0,3821200
2024-02-27,2.0,2.0,2.0,2.0,16607200
2024-02-28,2.0,2.0,2.0,2.0,10682100
2024-02-29,2.0,2.0,2.0,2.0,8119100
2024-03-01,2.0,2.0,2.0,2.0,4368100
2024-03-04,2.0,2.0,2.0,2.0,1068500
2024-03-05,2.0,2.0,2.0,2.0,2284200
2024-03-06,2.0,2.0,2.0,2.0,3013900
2024-03-07,2.0,2.0,2.0,2.0,7255800
2024-03-08,2.0,2.0,2.0,2.0,1523200
2024-03-13,2.0,2.0,2.0,2.0,5636700
2024-03-14,2.0,2.0,2.0,2.0,1145500
2024-03-15,2.0,2.0,2.0,2.0,2952200
2024-03-18,2.0,2.0,2.0,2.0,1843000
2024-03-19,2.0,2.0,2.0,2.0,1470400
2024-03-20,1.0,2.0,1.0,2.0,2016500
2024-03-21,1.0,2.0,1.0,2.0,10197300
2024-03-22,2.0,2.0,2.0,2.0,1440200
2024-03-25,2.0,2.0,1.0,1.0,1533500
2024-03-26,2.0,2.0,1.0,2.0,18444100
2024-03-27,2.0,2.0,2.0,2.0,17426800
2024-03-28,2.0,2.0,2.0,2.0,10881500
2024-04-01,2.0,2.0,2.0,2.0,4079700
2024-04-02,2.0,2.0,2.0,2.0,3203000
2024-04-03,2.0,2.0,1.0,2.0,4073800
2024-04-04,2.0,2.0,2.0,2.0,5252600
2024-04-05,2.0,2.0,2.0,2.0,11526100
2024-04-16,2.0,2.0,2.0,2.0,6666300
2024-04-17,2.0,2.0,1.0,1.0,3173000
2024-04-18,1.0,2.0,1.0,2.0,912500
2024-04-19,2.0,2.0,2.0,2.0,4298700
2024-04-22,2.0,2.0,1.0,2.0,3057400
2024-04-23,2.0,2.0,2.0,2.0,427000
2024-04-24,1.0,2.0,1.0,2.0,4912000
2024-04-25,2.0,2.0,1.0,2.0,3626000
2024-04-26,2.0,2.0,2.0,2.0,3310400
2024-04-29,2.0,2.0,2.0,2.0,585200
2024-04-30,2.0,2.0,2.0,2.0,10423000
2024-05-02,2.0,2.0,2.0,2.0,4259100
2024-05-03,2.0,2.0,2.0,2.0,7758800
2024-05-06,2.0,2.0,1.0,2.0,10073300
2024-05-07,2.0,2.0,1.0,1.0,622900
2024-05-08,1.0,2.0,1.0,2.0,4356500
2024-05-13,2.0,2.0,1.0,1.0,7005800
2024-05-14,1.0,2.0,1.0,2.0,3916200
2024-05-15,2.0,2.0,2.0,2.0,5469100
2024-05-16,2.0,2.0,2.0,2.0,4439500
2024-05-17,2.0,2.0,2.0,2.0,3282900
2024-05-20,2.0,2.0,1.0,1.0,3566600
2024-05-21,2.0,2.0,2.0,2.0,5952000
2024-05-22,2.0,2.0,2.0,2.0,3986700
2024-05-27,2.0,2.0,2.0,2.0,4764900
2024-05-28,2.0,2.0,2.0,2.0,4827400
2024-05-29,1.0,2.0,1.0,2.0,1580000
2024-05-30,1.0,2.0,1.0,2.0,1879500
2024-05-31,2.0,2.0,1.0,2.0,20178600
2024-06-03,2.0,2.0,2.0,2.0,1546000
2024-06-04,1.0,2.0,1.0,2.0,2512300
2024-06-05,2.0,2.0,1.0,1.0,5500100
2024-06-06,1.0,2.0,1.0,2.0,2280000
2024-06-07,2.0,2.0,2.0,2.0,1071100
2024-06-10,1.0,2.0,1.0,2.0,4899900
2024-06-11,1.0,2.0,1.0,1.0,3451700
2024-06-12,2.0,2.0,1.0,2.0,4444700
2024-06-13,2.0,2.0,1.0,1.0,1081900
2024-06-14,2.0,2.0,2.0,2.0,2511700
2024-06-19,1.0,2.0,1.0,2.0,1559400
2024-06-20,2.0,2.0,1.0,2.0,1295600
2024-06-21,2.0,2.0,2.0,2.0,2571000
2024-06-24,2.0,2.0,1.0,1.0,60719200
2024-06-25,1.0,2.0,1.0,1.0,14972600
2024-06-26,2.0,2.0,1.0,2.0,11091500
2024-06-27,2.0,2.0,1.0,1.0,14630600
2024-06-28,1.0,2.0,1.0,2.0,5131400
2024-07-01,1.0,2.0,1.0,1.0,6198500
2024-07-02,1.0,1.0,1.0,1.0,0
2024-07-03,1.0,1.0,1.0,1.0,0
2024-07-04,1.0,1.0,1.0,1.0,0
2024-07-05,1.0,1.0,1.0,1.0,0
2024-07-08,1.0,1.0,1.0,1.0,0
2024-07-09,1.0,1.0,1.0,1.0,0
2024-07-10,1.0,1.0,1.0,1.0,0
2024-07-11,1.0,1.0,1.0,1.0,0
2024-07-12,1.0,1.0,1.0,1.0,0
2024-07-15,1.0,1.0,1.0,1.0,0
2024-07-16,1.0,1.0,1.0,1.0,0
2024-07-17,1.0,1.0,1.0,1.0,0
2024-07-18,1.0,1.0,1.0,1.0,0
2024-07-19,1.0,1.0,1.0,1.0,0
2024-07-22,1.0,1.0,1.0,1.0,0
2024-07-23,1.0,1.0,1.0,1.0,0
2024-07-24,1.0,1.0,1.0,1.0,0
2024-07-25,1.0,1.0,1.0,1.0,0
2024-07-26,1.0,1.0,1.0,1.0,0
2024-07-29,1.0,1.0,1.0,1.0,0
2024-07-30,1.0,1.0,1.0,1.0,0
2024-07-31,1.0,1.0,1.0,1.0,0
2024-08-01,1.0,1.0,1.0,1.0,0
2024-08-02,1.0,1.0,1.0,1.0,0
2024-08-05,1.0,1.0,1.0,1.0,0
2024-08-06,1.0,1.0,1.0,1.0,0
2024-08-07,1.0,1.0,1.0,1.0,0
2024-08-08,1.0,1.0,1.0,1.0,0
2024-08-09,1.0,1.0,1.0,1.0,0
2024-08-12,1.0,1.0,1.0,1.0,0
2024-08-13,1.0,1.0,1.0,1.0,0
2024-08-14,1.0,1.0,1.0,1.0,0
2024-08-15,1.0,1.0,1.0,1.0,0
2024-08-16,1.0,1.0,1.0,1.0,0
2024-08-19,1.0,1.0,1.0,1.0,0
2024-08-20,1.0,1.0,1.0,1.0,0
2024-08-21,1.0,1.0,1.0,1.0,0
2024-08-22,1.0,1.0,1.0,1.0,0
2024-08-23,1.0,1.0,1.0,1.0,0
2024-08-26,1.0,1.0,1.0,1.0,0
2024-08-27,1.0,1.0,1.0,1.0,0
2024-08-28,1.0,1.0,1.0,1.0,0
2024-08-29,1.0,1.0,1.0,1.0,0
2024-08-30,1.0,1.0,1.0,1.0,0
2024-09-02,1.0,1.0,1.0,1.0,0
2024-09-03,1.0,1.0,1.0,1.0,0
2024-09-04,1.0,1.0,1.0,1.0,0
2024-09-05,1.0,1.0,1.0,1.0,0
2024-09-06,1.0,1.0,1.0,1.0,0
2024-09-09,1.0,1.0,1.0,1.0,0
2024-09-10,1.0,1.0,1.0,1.0,0
2024-09-11,1.0,1.0,1.0,1.0,0
2024-09-12,1.0,1.0,1.0,1.0,0
2024-09-13,1.0,1.0,1.0,1.0,0
2024-09-17,1.0,1.0,1.0,1.0,0
2024-09-18,1.0,1.0,1.0,1.0,0
2024-09-19,1.0,1.0,1.0,1.0,0
2024-09-20,1.0,1.0,1.0,1.0,0
2024-09-23,1.0,1.0,1.0,1.0,0
2024-09-24,1.0,1.0,1.0,1.0,0
2024-09-25,1.0,1.0,1.0,1.0,0
2024-09-26,1.0,1.0,1.0,1.0,0
2024-09-27,1.0,1.0,1.0,1.0,0
2024-09-30,1.0,1.0,1.0,1.0,0
2024-10-01,1.0,1.0,1.0,1.0,0
2024-10-02,1.0,1.0,1.0,1.0,0
2024-10-03,1.0,1.0,1.0,1.0,0
2024-10-04,1.0,1.0,1.0,1.0,0
2024-10-07,1.0,1.0,1.0,1.0,0
2024-10-08,1.0,1.0,1.0,1.0,0
2024-10-09,1.0,1.0,1.0,1.0,0
2024-10-10,1.0,1.0,1.0,1.0,0
2024-10-11,1.0,1.0,1.0,1.0,0
2024-10-14,1.0,1.0,1.0,1.0,0
2024-10-15,1.0,1.0,1.0,1.0,0
2024-10-16,1.0,1.0,1.0,1.0,0
2024-10-17,1.0,1.0,1.0,1.0,0
2024-10-18,1.0,1.0,1.0,1.0,0
2024-10-21,1.0,1.0,1.0,1.0,0
2024-10-22,1.0,1.0,1.0,1.0,0
2024-10-23,1.0,1.0,1.0,1.0,0
2024-10-24,1.0,1.0,1.0,1.0,0
2024-10-25,1.0,1.0,1.0,1.0,0
2024-10-28,1.0,1.0,1.0,1.0,0
2024-10-29,1.0,1.0,1.0,1.0,0
2024-10-30,1.0,1.0,1.0,1.0,0
2024-10-31,1.0,1.0,1.0,1.0,0
2024-11-01,1.0,1.0,1.0,1.0,0
2024-11-04,1.0,1.0,1.0,1.0,0
2024-11-05,1.0,1.0,1.0,1.0,0
2024-11-06,1.0,1.0,1.0,1.0,0
2024-11-07,1.0,1.0,1.0,1.0,0
2024-11-08,1.0,1.0,1.0,1.0,0
2024-11-11,1.0,1.0,1.0,1.0,0
2024-11-12,1.0,1.0,1.0,1.0,0
2024-11-13,1.0,1.0,1.0,1.0,0
2024-11-14,1.0,1.0,1.0,1.0,0
2024-11-15,1.0,1.0,1.0,1.0,0
2024-11-18,1.0,1.0,1.0,1.0,0
2024-11-19,1.0,1.0,1.0,1.0,0
2024-11-20,1.0,1.0,1.0,1.0,0
2024-11-21,1.0,1.0,1.0,1.0,0
2024-11-22,1.0,1.0,1.0,1.0,0
2024-11-25,1.0,1.0,1.0,1.0,0
2024-11-26,1.0,1.0,1.0,1.0,0
2024-11-28,1.0,1.0,1.0,1.0,0
2024-11-29,1.0,1.0,1.0,1.0,0
2024-12-02,1.0,1.0,1.0,1.0,0
2024-12-03,1.0,1.0,1.0,1.0,0
2024-12-04,1.0,1.0,1.0,1.0,0
2024-12-05,1.0,1.0,1.0,1.0,0
2024-12-06,1.0,1.0,1.0,1.0,0
2024-12-09,1.0,1.0,1.0,1.0,0
2024-12-10,1.0,1.0,1.0,1.0,0
2024-12-11,1.0,1.0,1.0,1.0,0
2024-12-12,1.0,1.0,1.0,1.0,0
2024-12-13,1.0,1.0,1.0,1.0,0
2024-12-16,1.0,1.0,1.0,1.0,0
2024-12-17,1.0,1.0,1.0,1.0,0
2024-12-18,1.0,1.0,1.0,1.0,0
2024-12-19,1.0,1.0,1.0,1.0,0
2024-12-20,1.0,1.0,1.0,1.0,0
2024-12-23,1.0,1.0,1.0,1.0,0
2024-12-24,1.0,1.0,1.0,1.0,0
2024-12-27,1.0,1.0,1.0,1.0,0
2024-12-30,1.0,1.0,1.0,1.0,0
2025-01-02,1.0,1.0,1.0,1.0,0
2025-01-03,1.0,1.0,1.0,1.0,0
2025-01-06,1.0,1.0,1.0,1.0,0
2025-01-07,1.0,1.0,1.0,1.0,0
2025-01-08,1.0,1.0,1.0,1.0,0
2025-01-09,1.0,1.0,1.0,1.0,0
2025-01-10,1.0,1.0,1.0,1.0,0
2025-01-13,1.0,1.0,1.0,1.0,0
2025-01-14,1.0,1.0,1.0,1.0,0
2025-01-15,1.0,1.0,1.0,1.0,0
2025-01-16,1.0,1.0,1.0,1.0,0
2025-01-17,1.0,1.0,1.0,1.0,0
2025-01-20,1.0,1.0,1.0,1.0,0
2025-01-21,1.0,1.0,1.0,1.0,0
2025-01-22,1.0,1.0,1.0,1.0,0
2025-01-23,1.0,1.0,1.0,1.0,0
2025-01-24,1.0,1.0,1.0,1.0,0
2025-01-30,1.0,1.0,1.0,1.0,0
2025-01-31,1.0,1.0,1.0,1.0,0
2025-02-03,1.0,1.0,1.0,1.0,0
2025-02-04,1.0,1.0,1.0,1.0,0
2025-02-05,1.0,1.0,1.0,1.0,0
2025-02-06,1.0,1.0,1.0,1.0,0
2025-02-07,1.0,1.0,1.0,1.0,0
2025-02-10,1.0,1.0,1.0,1.0,0
2025-02-11,1.0,1.0,1.0,1.0,0
2025-02-12,1.0,1.0,1.0,1.0,0
2025-02-13,1.0,1.0,1.0,1.0,0
2025-02-14,1.0,1.0,1.0,1.0,0
2025-02-17,1.0,1.0,1.0,1.0,0
2025-02-18,1.0,1.0,1.0,1.0,0
2025-02-19,1.0,1.0,1.0,1.0,0
2025-02-20,1.0,1.0,1.0,1.0,0
2025-02-21,1.0,1.0,1.0,1.0,0
2025-02-24,1.0,1.0,1.0,1.0,0
2025-02-25,1.0,1.0,1.0,1.0,0
2025-02-26,1.0,1.0,1.0,1.0,0
2025-02-27,1.0,1.0,1.0,1.0,0
2025-02-28,1.0,1.0,1.0,1.0,0
2025-03-03,1.0,1.0,1.0,1.0,0
2025-03-04,1.0,1.0,1.0,1.0,0
2025-03-05,1.0,1.0,1.0,1.0,0
2025-03-06,1.0,1.0,1.0,1.0,0
2025-03-07,1.0,1.0,1.0,1.0,0
2025-03-10,1.0,1.0,1.0,1.0,0
2025-03-11,1.0,1.0,1.0,1.0,0
2025-03-12,1.0,1.0,1.0,1.0,0
2025-03-13,1.0,1.0,1.0,1.0,0
2025-03-14,1.0,1.0,1.0,1.0,0
2025-03-17,1.0,1.0,1.0,1.0,0
2025-03-18,1.0,1.0,1.0,1.0,0
2025-03-19,1.0,1.0,1.0,1.0,0
2025-03-20,1.0,1.0,1.0,1.0,0
2025-03-21,1.0,1.0,1.0,1.0,0
2025-03-24,1.0,1.0,1.0,1.0,0
2025-03-25,1.0,1.0,1.0,1.0,0
2025-03-26,1.0,1.0,1.0,1.0,0
2025-03-27,1.0,1.0,1.0,1.0,0
2025-04-08,1.0,1.0,1.0,1.0,0
2025-04-09,1.0,1.0,1.0,1.0,0
2025-04-10,1.0,1.0,1.0,1.0,0
2025-04-11,1.0,1.0,1.0,1.0,0
2025-04-14,1.0,1.0,1.0,1.0,0
2025-04-15,1.0,1.0,1.0,1.0,0
2025-04-16,1.0,1.0,1.0,1.0,0
2025-04-17,1.0,1.0,1.0,1.0,0
2025-04-21,1.0,1.0,1.0,1.0,0
2025-04-22,1.0,1.0,1.0,1.0,0
2025-04-23,1.0,1.0,1.0,1.0,0
2025-04-24,1.0,1.0,1.0,1.0,0
2025-04-25,1.0,1.0,1.0,1.0,0
2025-04-28,1.0,1.0,1.0,1.0,0
2025-04-29,1.0,1.0,1.0,1.0,0
2025-04-30,1.0,1.0,1.0,1.0,0
2025-05-02,1.0,1.0,1.0,1.0,0
2025-05-05,1.0,1.0,1.0,1.0,0
2025-05-06,1.0,1.0,1.0,1.0,0
2025-05-07,1.0,1.0,1.0,1.0,0
2025-05-08,1.0,1.0,1.0,1.0,0
2025-05-09,1.0,1.0,1.0,1.0,0
2025-05-14,1.0,1.0,1.0,1.0,0
2025-05-15,1.0,1.0,1.0,1.0,0
2025-05-16,1.0,1.0,1.0,1.0,0
2025-05-19,1.0,1.0,1.0,1.0,0
2025-05-20,1.0,1.0,1.0,1.0,0
2025-05-21,1.0,1.0,1.0,1.0,0
2025-05-22,1.0,1.0,1.0,1.0,0
2025-05-23,1.0,1.0,1.0,1.0,0
2025-05-26,1.0,1.0,1.0,1.0,0
2025-05-27,1.0,1.0,1.0,1.0,0
2025-05-28,1.0,1.0,1.0,1.0,0
2025-06-02,1.0,1.0,1.0,1.0,0
2025-06-03,1.0,1.0,1.0,1.0,0
2025-06-04,1.0,1.0,1.0,1.0,0
2025-06-05,1.0,1.0,1.0,1.0,0
2025-06-10,1.0,1.0,1.0,1.0,0
2025-06-11,1.0,1.0,1.0,1.0,0
2025-06-12,1.0,1.0,1.0,1.0,0
2025-06-13,1.0,1.0,1.0,1.0,0
2025-06-16,1.0,1.0,1.0,1.0,0
2025-06-17,1.0,1.0,1.0,1.0,0
2025-06-18,1.0,1.0,1.0,1.0,0
2025-06-19,1.0,1.0,1.0,1.0,0
2025-06-20,1.0,1.0,1.0,1.0,0
2025-06-23,1.0,1.0,1.0,1.0,0
2025-06-24,1.0,1.0,1.0,1.0,0
2025-06-25,1.0,1.0,1.0,1.0,0
2025-06-26,1.0,1.0,1.0,1.0,0
